,smape,smape_a,mae,R,train_smape,train_smape_a,train_mae,train_R
JK,30.688521165114185,15.344260582557093,53.132816314697266,0.5584097274707175,12.224590236097502,6.112295118048751,10.817928314208984,0.9533138125669731
JP,44.63240403395433,22.316202016977165,35.99214172363281,0.7583630883883696,16.35861709946105,8.179308549730525,12.277417182922363,0.9048546510678788
BL,23.213280310997597,11.606640155498798,52.86426544189453,0.9301329449157631,6.152205949902009,3.0761029749510045,7.319777011871338,0.9964705528969433
VT,53.76896315354568,26.88448157677284,13.383495330810547,-0.05400751993027897,6.892295826188143,3.4461479130940713,2.6254231929779053,0.9707401263475804
SL,23.088341346153847,11.544170673076923,138.03240966796875,0.35780422491414754,10.636366594194023,5.318183297097011,54.71178436279297,0.8462863260089529
SK,34.63568115234375,17.317840576171875,33.088111877441406,-0.10717626438176198,24.02061259799118,12.01030629899559,3.781649351119995,0.9175779862408882
OP,26.469703087439907,13.234851543719953,32.082740783691406,0.8953396091432779,8.584241793238608,4.292120896619304,8.74162483215332,0.9830720539839715
TC,136.76781287560098,68.38390643780049,5.383100509643555,0.2648777517106842,38.01748530132288,19.00874265066144,0.3825560510158539,0.9917235296740327
CT,76.65343768780049,38.326718843900245,38.51812744140625,0.34087437251810826,2.783896431743018,1.391948215871509,3.015010356903076,0.9932450584401739
KT,30.340062068058895,15.170031034029448,99.2220458984375,-0.34412126021084477,9.948514438388045,4.974257219194023,29.82524871826172,0.8953156435081169
KC,27.403266319861782,13.701633159930891,20.98509979248047,0.5182177587922006,3.267777169585987,1.6338885847929936,1.934718132019043,0.9677956812035992
TS,33.55304894080529,16.776524470402645,105.64859771728516,0.5728216887628153,7.364867865017148,3.682433932508574,24.161514282226562,0.9592313032672269
PD,91.4761962890625,45.73809814453125,58.91450500488281,0.7368721571806882,28.21824664686428,14.10912332343214,11.955352783203125,0.9739857686769003
