2024-09-06 13:15:07,686 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Configure stats pid to 69616
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Loading settings from /home/langleman/.config/wandb/settings
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Loading settings from /home/langleman/Conditional_TimeGAN/wandb/settings
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_timegan.py', 'program_abspath': '/home/langleman/Conditional_TimeGAN/main_timegan.py', 'program': 'main_timegan.py'}
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_init.py:_log_setup():524] Logging user logs to /home/langleman/Conditional_TimeGAN/wandb/run-20240906_131507-bx5ttjcq/logs/debug.log
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_init.py:_log_setup():525] Logging internal logs to /home/langleman/Conditional_TimeGAN/wandb/run-20240906_131507-bx5ttjcq/logs/debug-internal.log
2024-09-06 13:15:07,687 INFO    MainThread:69616 [wandb_init.py:init():607] calling init triggers
2024-09-06 13:15:07,688 INFO    MainThread:69616 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {}
2024-09-06 13:15:07,688 INFO    MainThread:69616 [wandb_init.py:init():657] starting backend
2024-09-06 13:15:07,688 INFO    MainThread:69616 [wandb_init.py:init():661] setting up manager
2024-09-06 13:15:07,692 INFO    MainThread:69616 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-06 13:15:07,694 INFO    MainThread:69616 [wandb_init.py:init():669] backend started and connected
2024-09-06 13:15:07,700 INFO    MainThread:69616 [wandb_init.py:init():764] updated telemetry
2024-09-06 13:15:07,722 INFO    MainThread:69616 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-09-06 13:15:08,324 INFO    MainThread:69616 [wandb_run.py:_on_init():2479] communicating current version
2024-09-06 13:15:08,410 INFO    MainThread:69616 [wandb_run.py:_on_init():2488] got version response upgrade_message: "wandb version 0.17.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-09-06 13:15:08,411 INFO    MainThread:69616 [wandb_init.py:init():848] starting run threads in backend
2024-09-06 13:15:11,016 INFO    MainThread:69616 [wandb_run.py:_console_start():2457] atexit reg
2024-09-06 13:15:11,016 INFO    MainThread:69616 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-09-06 13:15:11,016 INFO    MainThread:69616 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-09-06 13:15:11,016 INFO    MainThread:69616 [wandb_run.py:_redirect():2393] Redirects installed.
2024-09-06 13:15:11,018 INFO    MainThread:69616 [wandb_init.py:init():891] run started, returning control to user process
